query_id,raw_query,corrected_query,frequency,event,category,clicked_product_ids
Q000296,iphone 14,iphone 14,42,search,Electronics,"P10967, P11371, P13599"
Q000297,samsung galay a54,samsung galaxy a54,144,view_details,Electronics,P14703
Q000298,realme wtch,realme watch,63,click,Electronics,"P12233, P12402, P14143"
Q000299,65 inch tv,65 inch tv,309,click,Electronics,"P13960, P11515, P11211, P13750"
Q000300,polo shirt,polo shirt,360,add_to_cart,Fashion,P10752
Q000301,full sleeve shirt,full sleeve shirt,401,click,Fashion,"P12976, P10294, P10436, P12639, P11634, P14024"
Q000302,bluetooth headphones,bluetooth headphones,557,view_details,Electronics,"P11865, P10262"
Q000303,gaming laptop,gaming laptop,678,click,Electronics,"P13570, P13592"
Q000304,65 inch tv,65 inch tv,621,click,Electronics,"P10202, P14122, P10034"
Q000305,polo shirt,polo shirt,160,click,Fashion,"P14728, P11339, P13948, P10798, P13118"
Q000306,cotton t shirt,cotton t shirt,395,click,Fashion,"P14704, P10983, P11829, P13164, P10397, P14618, P12623"
Q000307,black jeans,black jeans,254,search,Fashion,"P12200, P14951, P11506, P11745"
Q000308,gaming headphones,gaming headphones,255,search,Electronics,"P13869, P14918, P12373, P13409, P13710, P11744, P11639"
Q000309,metal strap watch,metal strap watch,375,view_details,Electronics,"P10614, P14731, P14408, P14479, P12511, P13231, P13418, P10940"
Q000310,casual shoes,casual shoes,358,search,Fashion,"P11978, P14707, P11105, P13425"
Q000311,leather strap watch,leather strap watch,435,view_details,Electronics,"P14251, P11606"
Q000312,16gb ram laptop,16gb ram laptop,328,search,Electronics,"P11534, P13113, P12295, P11093, P13011, P12064"
Q000313,skinny jeans,skinny jeans,375,search,Fashion,"P12917, P11090, P12081"
Q000314,16gb ram laptop,16gb ram laptop,177,view_details,Electronics,"P13170, P13168"
Q000315,formal shirt,formal shirt,348,click,Fashion,"P11506, P11925, P14664, P12941, P10701, P13963, P12206, P12610"
Q000316,metal strap watch,metal strap watch,246,click,Electronics,"P14332, P10632, P11926, P11200, P13545"
Q000317,sports shoes,sports shoes,277,click,Fashion,"P11712, P12055, P12349, P11022"
Q000318,digital watch,digital watch,157,search,Electronics,"P13632, P14578, P14832, P11189"
Q000319,65 inch tv,65 inch tv,591,click,Electronics,"P14931, P12976, P11300, P14020, P14783"
Q000320,smart tv,smart tv,634,search,Electronics,"P11420, P10248, P11656, P10557"
Q000321,blue jeans,blue jeans,192,click,Fashion,"P10914, P10001, P12011, P11726"
Q000322,gaming headphones,gaming headphones,659,view_details,Electronics,"P13151, P10729, P14812, P10634"
Q000323,wireless charging phone,wireless charging phone,179,view_details,Electronics,"P11905, P10968, P13525, P14924, P10959"
Q000324,bluetooth headphones,bluetooth headphones,270,search,Electronics,"P11560, P14799, P14383, P14365"
Q000325,waterproof phone,waterproof phone,178,search,Electronics,"P12630, P10438, P10824, P10618, P14519, P13023"
Q000326,sports shoes,sports shoes,180,click,Fashion,"P13996, P13192, P11927, P14106, P11118, P12705, P11652, P10283"
Q000327,gaming mouse,gaming mouse,693,search,Electronics,"P13485, P10007, P10801, P11868, P11376, P13405, P14392, P12231"
Q000328,gaming headphones,gaming headphones,548,add_to_cart,Electronics,"P12251, P14874"
Q000329,gaming headphones,gaming headphones,588,view_details,Electronics,P13445
Q000330,formal shirt,formal shirt,470,click,Fashion,"P13104, P13820, P12009, P11428, P11595"
Q000331,formal shirt,formal shirt,186,add_to_cart,Fashion,P13035
Q000332,running shoes,running shoes,298,search,Fashion,"P10886, P10155, P12751, P10937, P13014, P10761, P11627"
Q000333,leather strap watch,leather strap watch,516,view_details,Electronics,P13755
Q000334,waterproof phone,waterproof phone,356,search,Electronics,"P12882, P12726, P10662"
Q000335,leather strap watch,leather strap watch,527,search,Electronics,P13332
Q000336,led tv,led tv,595,search,Electronics,"P11951, P11583, P13221, P10930, P11578, P11873"
Q000337,blue jeans,blue jeans,222,click,Fashion,"P12727, P11650, P11666"
Q000338,straight fit jeans,straight fit jeans,548,search,Fashion,"P14608, P10509"
Q000339,casual shoes,casual shoes,365,view_details,Fashion,"P11769, P11651, P11554"
Q000340,65 inch tv,65 inch tv,636,add_to_cart,Electronics,"P14469, P12156, P13577, P10155, P10505"
Q000341,led tv,led tv,679,search,Electronics,P11720
Q000342,oled tv,oled tv,523,search,Electronics,P14383
Q000343,bluetooth headphones,bluetooth headphones,258,click,Electronics,"P14203, P13417, P12128, P14813"
Q000344,running shoes,running shoes,218,search,Fashion,"P14073, P11176, P12162"
Q000345,digital watch,digital watch,182,view_details,Electronics,"P14096, P13039"
Q000346,55 inch tv,55 inch tv,623,search,Electronics,"P10431, P14950, P10861, P14450, P14930, P12192, P12139"
Q000347,ssd laptop,ssd laptop,676,search,Electronics,"P14661, P11127, P12963, P13145, P12991, P11048, P14930"
Q000348,leather strap watch,leather strap watch,384,click,Electronics,"P10004, P13046, P13093, P13956"
Q000349,5g smartphone,5g smartphone,99,search,Electronics,"P12114, P13755"
Q000350,ssd laptop,ssd laptop,48,search,Electronics,"P14080, P14479, P14661, P10457, P12272, P12104, P11383"
Q000351,ssd laptop,ssd laptop,60,view_details,Electronics,P13590
Q000352,gamng headphones,gaming headphones,158,search,Electronics,"P14196, P10773, P14789, P10179, P11586"
Q000353,55 inch tv,55 inch tv,166,view_details,Electronics,"P10889, P14229, P10345, P11563, P12975, P10864, P13519, P12141"
Q000354,fast chargng mobile,fast charging mobile,209,search,Electronics,"P12099, P13232, P12681, P11795, P11844, P14852"
Q000355,casual shoes,casual shoes,114,add_to_cart,Fashion,"P10223, P11733, P13802, P11688, P10893, P10115, P11446"
Q000356,wirels chargng phone,wireless charging phone,211,view_details,Electronics,"P10694, P13667"
Q000357,blutooth keyboard,bluetooth keyboard,246,search,Electronics,"P11610, P13856, P14039, P13911, P10665, P11508"
Q000358,digital watch,digital watch,123,search,Electronics,"P10260, P14218, P12670"
Q000359,full sleeve shirt,full sleeve shirt,157,click,Fashion,"P12511, P12887, P12962, P10102, P12409, P10689"
Q000360,fast chargng mobile,fast charging mobile,137,view_details,Electronics,P14031
Q000361,blutooth headphones,bluetooth headphones,61,add_to_cart,Electronics,"P12032, P14404, P13814, P10102, P14738"
Q000362,black shoes,black shoes,104,search,Fashion,"P14060, P14488, P11782, P11273"
Q000363,55 inch tv,55 inch tv,140,click,Electronics,P10173
Q000364,runing shoes,running shoes,236,search,Fashion,"P11835, P14160, P10451, P11952, P12004, P14573, P11911, P13895"
Q000365,blue jeans,blue jeans,195,add_to_cart,Fashion,"P11497, P14001, P14639, P10322"
Q000366,straight fit jeans,straight fit jeans,244,click,Fashion,"P11369, P11398, P12781, P11736"
Q000367,full sleeve shirt,full sleeve shirt,67,click,Fashion,P12434
Q000368,leather strap watch,leather strap watch,121,click,Electronics,"P10283, P10177"
Q000369,blue jeans,blue jeans,201,click,Fashion,"P12366, P12982"
Q000370,runing shoes,running shoes,101,search,Fashion,"P11657, P10196, P14496"
Q000371,analog watch,analog watch,151,search,Electronics,P13159
Q000372,formal shirt,formal shirt,72,search,Fashion,"P13649, P13920, P11186"
Q000373,white shoes,white shoes,52,search,Fashion,"P14008, P11492, P10621, P12372, P10834"
Q000374,gamng headphones,gaming headphones,235,search,Electronics,"P10195, P11373, P11157, P14633, P12821, P13803, P11101, P14460"
Q000375,analog watch,analog watch,111,view_details,Electronics,"P10218, P11394, P13697, P13252, P13707, P10941"
Q000376,casual shoes,casual shoes,62,click,Fashion,"P14142, P12664, P14260, P10506, P14590, P12362, P14276"
Q000377,leather strap watch,leather strap watch,204,click,Electronics,"P11152, P14178, P13253, P12185, P13015, P12843, P10659, P14162"
Q000378,touchscreen laptop,touchscreen laptop,169,click,Electronics,"P12333, P11683"
Q000379,sports shoes,sports shoes,248,click,Fashion,"P11960, P11284, P14492, P11276"
Q000380,oled tv,oled tv,171,search,Electronics,"P13844, P10576"
Q000381,gamng laptop,gaming laptop,207,search,Electronics,"P10463, P12566, P12796, P13067"
Q000382,blutooth headphones,bluetooth headphones,107,click,Electronics,"P12015, P14768"
Q000383,oled tv,oled tv,183,click,Electronics,"P10828, P12221, P13486, P12211, P11369, P10737, P11579, P14989"
Q000384,4k tv,4k tv,62,click,Electronics,"P11145, P12060, P12875, P14149, P14394"
Q000385,ssd laptop,ssd laptop,109,view_details,Electronics,"P11054, P13614, P10457"
Q000386,ssd laptop,ssd laptop,40,search,Electronics,"P11798, P12116, P11620, P11854, P11442, P14019, P11276, P11067"
Q000387,fast chargng mobile,fast charging mobile,193,click,Electronics,"P10416, P14345, P13787, P13122"
Q000388,white shoes,white shoes,159,search,Fashion,"P11321, P12680, P12312, P12530, P14794, P10863, P13607, P14849"
Q000389,digital watch,digital watch,80,search,Electronics,P11736
Q000390,gamng mouse,gaming mouse,108,view_details,Electronics,"P12292, P12916"
Q000391,touchscreen laptop,touchscreen laptop,217,click,Electronics,"P11027, P12310, P13755, P12660, P13765, P12123, P10210"
Q000392,mechanical keyboard,mechanical keyboard,194,search,Electronics,"P10921, P13417, P14100, P13133, P11528, P13585, P13757"
Q000393,blue jeans,blue jeans,143,click,Fashion,"P12307, P11950, P12278, P13179, P14581, P11047, P10251"
Q000394,casual shoes,casual shoes,217,search,Fashion,"P12951, P10715, P10091"
Q000395,oled tv,oled tv,53,view_details,Electronics,"P13522, P14363, P12120, P12934, P13371"
Q000396,55 inch tv,55 inch tv,174,click,Electronics,"P10168, P10012, P12442, P11104, P13710, P12115, P14621"
Q000397,gamng headphones,gaming headphones,156,view_details,Electronics,"P11966, P11841"
Q000398,noise cancelling headphones,noise cancelling headphones,62,click,Electronics,P14215
