query_id,original_query,corrected_query,frequency,predicted_purchase,timestamp
437,adidas ultraboost,adidas ultraboost,66,yes,2025-07-10T18:51:43
438,budget phone,budget phone,84,maybe,2025-06-29T18:08:39
439,curved tv,curved tv,36,maybe,2025-07-03T03:52:10
440,portable speaker,portable speaker,83,no,2025-07-26T20:37:38
441,expensive laptop,expensive laptop,74,maybe,2025-07-18T23:52:29
442,nike air,nike air,17,maybe,2025-07-14T16:19:33
443,smart monitor,smart monitor,9,yes,2025-07-13T03:01:55
444,Home laptop,Home laptop,30,yes,2025-07-19T02:00:25
445,adidas,adidas,87,no,2025-07-27T07:51:21
446,oled tv,oled tv,14,yes,2025-07-22T17:25:20
447,expensive phone,expensive phone,8,maybe,2025-07-03T12:18:30
448,bluetooth speaker,bluetooth speaker,96,yes,2025-07-16T14:21:23
449,shoes under 5000,shoes under 5000,23,no,2025-07-25T21:20:42
450,adidas,adidas,49,yes,2025-07-07T03:01:45
451,samsung galaxy,samsung galaxy,26,no,2025-07-10T06:20:40
452,camera under 20000,camera under 20000,29,yes,2025-06-30T01:17:07
453,wireless headphones,wireless headphones,25,yes,2025-07-19T01:36:54
454,Home phone,Home phone,27,yes,2025-06-27T23:32:30
455,gaming phone,gaming phone,100,no,2025-07-23T03:19:20
456,iphone,iphone,44,yes,2025-07-24T00:54:48
457,adidas ultraboost,adidas ultraboost,25,yes,2025-07-07T11:08:02
458,headphones under 20000,headphones under 20000,46,maybe,2025-07-15T13:55:12
459,samsung galaxy,samsung galaxy,9,no,2025-07-18T20:04:09
460,expensive phone,expensive phone,73,yes,2025-07-01T07:05:48
461,premium laptop,premium laptop,16,no,2025-07-13T22:16:56
462,running dress,running dress,70,no,2025-07-13T03:18:34
463,Electronics shoes,Electronics shoes,33,no,2025-07-03T22:46:13
464,4k tv,4k tv,37,yes,2025-07-12T11:28:19
465,samsung galaxy,samsung galaxy,67,maybe,2025-07-22T12:24:42
466,nike air,nike air,52,maybe,2025-07-12T21:54:50
467,Home phone,Home phone,75,no,2025-07-17T17:23:01
468,bluetooth speaker,bluetooth speaker,44,no,2025-07-13T17:36:07
469,wireless earbuds,wireless earbuds,98,yes,2025-07-17T10:24:06
470,budget headphones,budget headphones,94,no,2025-07-12T06:02:04
471,Electronics shirt,Electronics shirt,10,maybe,2025-07-24T19:30:31
472,Fashion phone,Fashion phone,54,maybe,2025-07-04T01:52:20
473,adidas,adidas,17,no,2025-07-07T05:04:52
474,Electronics phone,Electronics phone,64,maybe,2025-07-18T07:25:36
475,formal shirt,formal shirt,62,no,2025-07-16T07:18:27
476,running shoes,running shoes,4,yes,2025-07-06T08:19:40
477,adidas ultraboost,adidas ultraboost,88,maybe,2025-07-27T18:41:53
478,Home shirt,Home shirt,7,no,2025-07-25T12:37:37
479,top camera,top camera,90,no,2025-07-12T12:12:12
480,samsung galaxy,samsung galaxy,15,no,2025-07-17T14:40:59
481,nike,nike,46,yes,2025-07-24T11:57:52
482,curved tv,curved tv,31,yes,2025-06-27T22:02:39
483,samsung,samsung,30,no,2025-07-12T15:36:40
484,iphone,iphone,2,maybe,2025-07-11T19:51:00
485,running shoes,running shoes,8,yes,2025-07-08T02:27:07
486,laptop under 20000,laptop under 20000,6,no,2025-07-18T18:25:38
487,oled monitor,oled monitor,17,maybe,2025-07-26T01:18:09
488,expensive phone,expensive phone,85,yes,2025-07-27T08:23:00
489,nike,nike,70,yes,2025-07-13T13:01:08
490,shoes under 10000,shoes under 10000,57,maybe,2025-07-20T11:19:18
491,smart watch,smart watch,38,maybe,2025-07-19T08:17:21
492,formal shirt,formal shirt,90,maybe,2025-07-19T08:43:29
493,iphone,iphone,7,no,2025-07-08T06:33:05
494,expensive shoes,expensive shoes,11,yes,2025-07-22T17:07:56
495,budget phone,budget phone,95,maybe,2025-07-20T20:52:23
496,running shirt,running shirt,93,yes,2025-07-06T03:16:34
497,Electronics shirt,Electronics shirt,84,no,2025-07-02T00:21:55
498,samsung,samsung,64,yes,2025-07-11T16:12:23
499,smart watch,smart watch,50,no,2025-07-22T22:06:59
500,samsung,samsung,36,maybe,2025-07-14T04:05:38
